Overall rank,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Region,Economic_Health_Index,Social_Economic_Index,Freedom_Trust_Index,Cluster
37,Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11,Middle East and Northern Africa,1.1165,1.3650000000000002,0.323,5
38,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014,Central and Eastern Europe,1.0635,1.375,0.17400000000000002,7
39,Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016,Latin America and Caribbean,0.972,1.354,0.2525,0
40,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05,Central and Eastern Europe,1.045,1.322,0.2665,7
41,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,Central and Eastern Europe,0.7505,1.137,0.4355,2
42,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042,Central and Eastern Europe,1.028,1.3765,0.16649999999999998,7
43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,Latin America and Caribbean,0.913,1.1975,0.252,0
44,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,Central and Eastern Europe,1.1055,1.3904999999999998,0.3105,7
45,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127,Latin America and Caribbean,0.7645,1.0095,0.281,0
46,Kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006,Central and Eastern Europe,0.8200000000000001,1.057,0.2475,7
47,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05,Latin America and Caribbean,0.9865,1.262,0.2605,0
48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,Central and Eastern Europe,0.9934999999999999,1.197,0.2335,7
49,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041,Western Europe,1.1524999999999999,1.2429999999999999,0.2235,2
50,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,Latin America and Caribbean,0.89,1.112,0.2925,0
51,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097,Middle East and Northern Africa,1.154,1.4095,0.295,5
52,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,Southeastern Asia,0.9390000000000001,1.2295,0.29250000000000004,6
53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,Central and Eastern Europe,0.9995,1.326,0.164,7
54,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056,East Asia,1.1684999999999999,1.26,0.1075,4
55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,Central and Eastern Europe,1.0555,1.3825,0.328,7
56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,Latin America and Caribbean,0.831,1.1545,0.259,0
57,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,Sub-Saharan Africa,0.9590000000000001,1.2610000000000001,0.279,7
58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,East Asia,1.2075,1.373,0.2925,4
59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,Latin America and Caribbean,0.735,0.9390000000000001,0.2925,0
60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,Central and Eastern Europe,0.9510000000000001,1.3405,0.253,7
61,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,Latin America and Caribbean,0.741,0.9925,0.2875,0
62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,Central and Eastern Europe,1.0145,1.3054999999999999,0.1095,7
63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,Latin America and Caribbean,0.8160000000000001,1.165,0.297,0
64,Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162,Western Europe,1.1524999999999999,1.2574999999999998,0.2895,2
65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,Latin America and Caribbean,0.907,1.117,0.24100000000000002,0
66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,Western Europe,1.11,1.326,0.2665,2
67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,Southern Asia,0.6060000000000001,0.7815000000000001,0.20550000000000002,3
68,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031,Central and Eastern Europe,0.9545,1.3175,0.1825,7
69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,Southeastern Asia,0.732,1.05,0.3325,6
70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,Central and Eastern Europe,0.929,1.1935,0.16049999999999998,7
71,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0.0,Central and Eastern Europe,0.712,1.0065,0.1225,7
72,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152,Middle East and Northern Africa,0.8585,1.1735,0.284,5
73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,Central and Eastern Europe,0.961,1.206,0.1385,7
74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,Central and Eastern Europe,0.6054999999999999,0.7955000000000001,0.2665,7
75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,Central and Eastern Europe,1.0345,1.2105000000000001,0.159,7
76,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287,East Asia,1.28,1.3575,0.3635,4
77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,Latin America and Caribbean,0.897,1.208,0.299,0
78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,Central and Eastern Europe,0.895,1.0785,0.109,7
79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,Middle East and Northern Africa,0.9955,1.2715,0.1505,5
80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,Southeastern Asia,1.0245,1.1960000000000002,0.266,6
81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,Central and Eastern Europe,0.9279999999999999,1.266,0.1885,7
82,Greece,5.287,1.181,1.156,0.999,0.067,0.0,0.034,Western Europe,1.09,1.1684999999999999,0.0505,7
83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,East Asia,0.8075,1.2395,0.1775,4
84,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,Central and Eastern Europe,0.9105,1.1385,0.1895,7
85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,Sub-Saharan Africa,0.4705,0.9035,0.23349999999999999,1
86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023,Central and Eastern Europe,0.637,0.9944999999999999,0.2655,7
87,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,Central and Eastern Europe,0.8545,1.295,0.21100000000000002,7
88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,Middle East and Northern Africa,0.8935,1.081,0.1,5
89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,Middle East and Northern Africa,0.7915000000000001,0.7915000000000001,0.247,5
90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,Central and Eastern Europe,0.9059999999999999,1.095,0.26649999999999996,7
91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,Middle East and Northern Africa,0.901,1.1055,0.1215,5
92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,Southeastern Asia,0.7955000000000001,1.0670000000000002,0.2595,6
93,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1,East Asia,0.961,1.077,0.3105,4
94,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073,Southeastern Asia,0.796,1.0435,0.308,6
95,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167,Southern Asia,0.7084999999999999,1.067,0.312,3
96,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,Sub-Saharan Africa,0.44000000000000006,0.7295,0.209,1
97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,Central and Eastern Europe,0.9535,1.3025,0.1575,7
98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,Sub-Saharan Africa,0.5485,0.7395,0.2105,1
99,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09,Sub-Saharan Africa,0.40049999999999997,0.6885,0.22099999999999997,1
100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,Southern Asia,0.5615,0.836,0.264,3
101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,Middle East and Northern Africa,0.826,1.0310000000000001,0.2565,5
102,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,Sub-Saharan Africa,0.395,0.41500000000000004,0.2155,1
103,Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093,Sub-Saharan Africa,0.5905,0.736,0.23249999999999998,1
104,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,Sub-Saharan Africa,0.814,1.12,0.175,1
105,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164,Southeastern Asia,0.6575,0.897,0.35550000000000004,6
106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,Sub-Saharan Africa,0.7144999999999999,1.1555,0.222,1
107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,Central and Eastern Europe,0.9105,0.8975,0.20500000000000002,7
108,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047,Latin America and Caribbean,0.8825000000000001,1.1935,0.1005,0
109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,Southeastern Asia,0.6054999999999999,0.8480000000000001,0.3355,6
110,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066,Middle East and North Africa,0.6645000000000001,0.9520000000000001,0.14550000000000002,7
111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,Sub-Saharan Africa,0.5105,0.7919999999999999,0.182,1
112,Somalia,4.668,0.0,0.698,0.268,0.559,0.243,0.27,Sub-Saharan Africa,0.134,0.349,0.41450000000000004,1
113,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,Sub-Saharan Africa,0.6779999999999999,1.096,0.2285,1
114,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,Sub-Saharan Africa,0.252,0.456,0.21,1
115,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,Sub-Saharan Africa,0.35550000000000004,0.6935,0.184,1
116,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,Central and Eastern Europe,0.8325,0.9524999999999999,0.1735,7
117,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125,Middle East and Northern Africa,0.9425000000000001,0.9710000000000001,0.215,5
118,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086,Sub-Saharan Africa,0.3775,0.6045,0.20900000000000002,1
119,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,Central and Eastern Europe,0.819,0.776,0.255,7
120,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167,Sub-Saharan Africa,0.368,0.6234999999999999,0.2745,1
121,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,Sub-Saharan Africa,0.5465,0.7475,0.242,1
122,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088,Sub-Saharan Africa,0.5295,0.8685,0.077,1
123,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138,Sub-Saharan Africa,0.297,0.595,0.316,1
124,Tunisia,4.461,0.921,1.0,0.815,0.167,0.059,0.055,Middle East and Northern Africa,0.868,0.9605,0.111,5
125,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,Southern Asia,0.6425000000000001,0.7450000000000001,0.335,3
126,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089,Middle East and Northern Africa,0.8085,1.0114999999999998,0.16499999999999998,5
127,Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053,Sub-Saharan Africa,0.22549999999999998,0.6095,0.161,1
128,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052,Sub-Saharan Africa,0.34650000000000003,0.745,0.1895,1
129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,Sub-Saharan Africa,0.255,0.5545,0.177,1
130,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,Southern Asia,0.8899999999999999,1.107,0.2585,3
131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172,Southeastern Asia,0.6325000000000001,0.9455,0.34850000000000003,6
132,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078,Sub-Saharan Africa,0.271,0.558,0.126,1
133,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,Central and Eastern Europe,0.7795,1.105,0.094,7
134,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1,Sub-Saharan Africa,0.43400000000000005,0.6845,0.22199999999999998,1
135,Swaziland,4.212,0.811,1.149,0.0,0.313,0.074,0.135,Sub-Saharan Africa,0.4055,0.98,0.224,1
136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,Sub-Saharan Africa,0.3875,0.7005,0.208,1
137,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,Middle East and Northern Africa,0.7785,0.976,0.154,5
138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,Sub-Saharan Africa,0.502,0.8180000000000001,0.259,1
139,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,Sub-Saharan Africa,0.3425,0.4235,0.189,1
140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,Southern Asia,0.6715,0.76,0.2915,3
141,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033,Sub-Saharan Africa,0.258,0.4975,0.2015,1
142,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078,Sub-Saharan Africa,0.3895,0.5155000000000001,0.10999999999999999,1
143,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,Sub-Saharan Africa,0.41450000000000004,0.595,0.0945,1
144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093,Sub-Saharan Africa,0.3285,0.829,0.22599999999999998,1
145,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18,Sub-Saharan Africa,0.213,0.2465,0.2,1
146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,Sub-Saharan Africa,0.39949999999999997,0.74,0.22499999999999998,1
147,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,Latin America and Caribbean,0.386,0.5055,0.068,1
148,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1,Sub-Saharan Africa,0.7895,1.093,0.2775,1
149,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141,Middle East and Northern Africa,0.5295,0.4985,0.077,5
150,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,Sub-Saharan Africa,0.34299999999999997,0.37550000000000006,0.266,1
151,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077,Middle East and Northern Africa,0.375,0.725,0.10999999999999999,5
152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,Sub-Saharan Africa,0.4865,0.5349999999999999,0.483,1
153,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,Sub-Saharan Africa,0.4875,0.6805,0.282,1
154,Afghanistan,3.203,0.35,0.517,0.361,0.0,0.158,0.025,Southern Asia,0.3555,0.4335,0.0125,3
155,Central African Republic,3.083,0.026,0.0,0.105,0.225,0.235,0.035,Sub-Saharan Africa,0.0655,0.013,0.13,1
156,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091,Sub-Saharan Africa,0.3005,0.4405,0.050499999999999996,1
